time[ms],R1[ohm]
399220,5935.20
400223,6059.57
401226,6084.68
402230,6034.54
403232,6109.87
404236,6034.54
405238,6084.68
406242,5984.72
407244,6059.57
408248,6059.57
409250,6135.14
410254,6211.44
411257,6135.14
412260,6059.57
413263,6084.68
414266,5935.20
415269,6009.59
416272,6059.57
417275,6034.54
418279,6135.14
419281,5935.20
420285,5935.20
421287,6034.54
422291,6034.54
423293,5959.92
424297,6135.14
425300,6109.87
426303,6034.54
427307,6059.57
428309,6211.43
429313,6185.92
430315,6034.54
431319,6059.57
432321,6059.57
433325,6211.43
434328,6059.57
435331,6034.54
436334,5910.56
437337,5861.51
438340,6009.59
439343,6084.68
440346,6288.46
441350,6135.14
442352,6059.57
443356,5910.56
444358,6160.49
445362,6009.59
446364,6034.54
447368,6185.92
448370,6059.57
449374,6059.57
450377,6109.87
451380,6034.54
452383,5910.56
453386,6084.68
454389,6059.57
455392,6034.54
456395,5959.92
457399,6009.59
458401,6034.54
459405,6211.44
460407,5984.72
461411,6059.57
462413,6185.92
463417,6009.59
464419,6059.57
465423,6034.54
466426,5812.77
467429,6059.57
468432,6059.57
469435,5886.00
470438,5984.72
471441,6034.54
472444,6009.59
473448,6160.49
474450,6059.57
475454,6034.54
476456,6135.14
477460,6262.70
478462,6059.57
479466,6009.59
480468,5959.92
481472,6009.59
482476,6034.54
483478,6109.87
484482,5984.72
485484,6009.59
486488,6034.54
487490,6160.49
488494,6059.57
489497,6059.57
490500,6084.68
491503,6009.59
492506,6009.59
493509,6034.54
494512,6009.59
495515,6059.57
496518,6009.59
497521,6034.54
498525,5959.92
499527,6009.59
500531,6009.59
501533,5959.92
502537,6009.59
503539,6109.87
504543,6262.70
505546,6009.59
506549,5935.20
507552,6084.68
508555,5984.72
509558,6084.68
510561,6034.54
511564,6009.59
512568,6009.59
513570,6160.49
514574,6009.59
515576,6034.54
516580,6160.49
517582,6009.59
518586,5910.56
519588,5910.56
520592,6084.68
521595,6034.54
522598,5910.56
523601,5959.92
524604,5984.72
525607,6009.59
526610,6059.57
527613,6009.59
528617,6034.54
529619,6009.59
530623,6009.59
531625,6109.87
532629,5984.72
533632,6034.54
534635,6135.14
535639,6160.49
536641,5935.20
537645,5959.92
538647,5984.72
539651,6009.59
540653,6009.59
541657,6009.59
542659,6009.59
543663,6009.59
544666,5788.51
545669,5837.10
546672,6059.57
547675,6034.54
548678,6059.57
549681,5984.72
550684,6109.87
551688,5886.00
552690,6084.68
553694,6009.59
554696,6009.59
555700,6135.14
556702,6034.54
557706,5984.72
558708,5959.92
559712,6135.14
560715,6034.54
561718,6009.59
562721,5910.56
563724,5959.92
564727,6084.68
565730,5984.72
566733,6109.87
567737,5984.72
568739,5959.92
569743,6009.59
570745,5812.77
571749,5935.20
572751,6059.57
573755,6009.59
574758,5837.10
575761,6109.87
576764,5959.92
577767,6009.59
578770,5910.56
579773,5861.51
580776,5959.92
581779,6034.54
582782,5959.92
583786,5935.20
584788,5959.92
585792,6009.59
586795,5984.72
587798,6160.49
588801,6034.54
589804,5984.72
590808,5984.72
591810,6009.59
592814,5984.72
593816,5984.72
594820,5886.00
595822,6059.57
596826,5984.72
597828,5959.92
598832,5837.10
599835,6059.57
600838,6034.54
601841,5959.92
602844,5812.77
603847,5959.92
604850,5984.72
605853,5959.92
606857,6084.68
607859,6009.59
608863,6009.59
609865,6084.68
610869,5935.20
611871,5959.92
612875,5837.10
613878,6135.14
614881,6009.59
615884,6009.59
616887,5984.72
617890,5984.72
618893,5959.92
619896,6034.54
620899,6059.57
621902,5984.72
622906,5959.92
623908,6135.14
624912,6084.68
625914,5984.72
626918,6009.59
627920,6059.57
628924,5984.72
629927,5984.72
630930,6009.59
631933,5984.72
632936,6135.14
633939,5959.92
634942,6009.59
635945,6059.57
636949,6034.54
637952,6009.59
638955,6059.57
639958,5959.92
640961,6059.57
641964,5984.72
642967,6009.59
643970,5910.56
644973,6009.59
645977,5984.72
646979,5984.72
647983,5959.92
648985,6009.59
649989,5959.92
650991,6084.68
651995,5959.92
652998,5861.51
654001,5959.92
655004,5984.72
656007,5812.77
657010,5984.72
658013,5959.92
659016,6009.59
660019,5886.00
661022,5959.92
662026,5959.92
663028,6034.54
664032,6135.14
665034,5886.00
666038,5910.56
667040,6059.57
668044,5812.77
669047,5984.72
670050,6009.59
671053,6135.14
672056,5959.92
673059,5959.92
674062,5984.72
675065,5861.51
676068,5910.56
677071,5959.92
678075,5740.22
679077,5959.92
680081,6009.59
681083,5861.51
682087,5910.56
683089,5984.72
684093,6009.59
685096,6109.87
686099,5935.20
687102,5984.72
688105,5861.51
689108,5984.72
690111,5959.92
691115,5788.51
692117,5959.92
693121,5910.56
694124,6185.92
695127,5984.72
696130,5935.20
697133,6034.54
698136,5984.72
699139,5886.00
700142,5959.92
701146,5935.20
702148,5910.56
703152,5984.72
704154,5984.72
705158,6185.92
706160,5959.92
707164,6009.59
708167,5788.51
709170,5886.00
710173,5984.72
711176,6059.57
712179,5984.72
713182,5984.72
714185,6034.54
715188,5959.92
716191,5959.92
717195,6034.54
718197,5984.72
719201,5984.72
720203,6109.87
721207,5837.10
722209,6009.59
723213,5959.92
724216,6135.14
725219,6009.59
726222,5959.92
727225,5861.51
728228,5764.33
729231,5935.20
730234,5959.92
731238,6084.68
732240,6135.14
733244,5984.72
734246,5910.56
735250,5788.51
736252,6009.59
737256,6009.59
738258,5935.20
739262,5984.72
740265,5935.20
741268,5910.56
742272,5959.92
743274,5935.20
744278,5910.56
745280,5935.20
746284,5984.72
747287,5959.92
748290,5788.51
749293,5984.72
750296,5910.56
751299,5959.92
752302,5984.72
753305,5788.51
754309,6059.57
755311,5935.20
756315,5935.20
757317,5959.92
758321,6084.68
759323,5837.10
760327,5935.20
761329,5984.72
762333,5959.92
763336,5886.00
764339,6109.87
765342,6009.59
766345,6034.54
767348,6059.57
768351,6135.14
769354,6135.14
770358,6185.92
771360,6237.03
772364,6288.46
773366,6211.44
774370,6262.70
775372,6262.70
776376,6211.43
777378,6340.22
778382,6340.22
779385,6288.46
780388,6392.32
781391,6418.50
782394,6471.10
783397,6366.23
784400,6444.76
785403,6524.05
786407,6444.76
787409,6524.05
788413,6524.05
789415,6577.34
790419,6497.53
791421,6604.12
792425,6604.12
793427,6630.98
794431,6604.12
795435,6684.97
796437,6684.97
797441,6739.33
798443,6766.63
799447,6766.63
800449,6821.52
801453,6766.63
802456,6821.52
803459,6821.52
804462,6849.10
805465,6876.78
