time[ms],R1[ohm]
399219,6009.59
400223,6034.54
401225,5910.56
402229,5764.33
403232,5935.20
404235,5959.92
405238,6009.59
406241,6135.14
407244,6109.87
408247,5984.72
409250,6009.59
410254,6160.49
411256,6135.14
412260,5959.92
413262,5910.56
414266,6109.87
415268,6059.57
416272,5984.72
417275,5984.72
418278,6059.57
419281,5959.92
420284,5910.56
421287,6109.87
422290,5861.51
423293,5935.20
424296,6135.14
425299,5910.56
426303,5984.72
427305,5861.51
428309,5959.92
429312,5935.20
430315,6084.68
431318,5910.56
432321,5959.92
433325,5764.33
434327,6009.59
435331,5984.72
436333,5740.22
437337,5935.20
438339,5935.20
439343,5812.77
440346,5935.20
441349,5935.20
442352,6211.44
443355,5935.20
444358,5984.72
445361,6009.59
446364,5935.20
447367,5935.20
448370,6135.14
449374,5935.20
450376,5935.20
451380,5764.33
452382,5959.92
453386,5935.20
454388,5837.10
455392,5910.56
456395,5910.56
457398,6109.87
458401,5935.20
459404,6185.92
460407,5959.92
461410,5910.56
462413,5812.77
463417,5910.56
464419,5935.20
465423,5812.77
466425,5935.20
467429,5984.72
468431,6160.49
469435,5984.72
470437,6135.14
471441,5984.72
472444,5935.20
473447,5861.51
474450,5935.20
475453,5935.20
476456,6135.14
477459,5935.20
478462,5935.20
479466,6059.57
480468,5788.51
481472,5910.56
482475,5935.20
483478,6135.14
484481,5910.56
485484,5910.56
486488,5861.51
487490,6084.68
488494,5935.20
489496,5910.56
490500,5764.33
491502,5910.56
492506,5935.20
493509,6135.14
494512,5935.20
495515,5910.56
496518,5861.51
497521,5935.20
498524,5984.72
499527,6009.59
500530,5886.00
501533,5959.92
502537,5837.10
503539,6160.49
504543,5910.56
505545,5910.56
506549,6034.54
507551,6084.68
508555,5959.92
509558,5959.92
510561,5740.22
511564,5886.00
512567,5910.56
513570,5935.20
514573,6185.92
515576,5910.56
516580,5886.00
517582,5984.72
518586,6059.57
519588,5910.56
520592,5910.56
521594,6109.87
522598,5910.56
523600,5935.20
524604,5935.20
525607,5910.56
526610,5959.92
527613,5861.51
528616,5716.18
529619,6160.49
530622,5812.77
531625,5935.20
532629,5668.34
533632,6160.49
534635,5935.20
535638,5959.92
536641,6059.57
537644,5788.51
538647,5935.20
539650,5935.20
540653,5984.72
541657,5837.10
542659,5886.00
543663,5861.51
544665,5984.72
545669,6009.59
546671,5910.56
547675,5910.56
548678,5837.10
549681,6034.54
550684,5910.56
551687,5910.56
552690,5910.56
553693,5764.33
554696,5692.22
555700,5935.20
556702,5935.20
557706,5984.72
558708,5620.78
559712,5740.22
560714,5984.72
561718,5935.20
562720,5861.51
563724,5886.00
564727,5837.10
565730,5692.22
566733,5740.22
567736,5812.77
568739,5886.00
569742,5959.92
570745,5861.51
571749,5984.72
572751,6211.44
573755,5788.51
574757,5788.51
575761,5886.00
576763,5935.20
577767,5910.56
578770,6009.59
579773,5959.92
580776,5959.92
581779,5959.92
582782,5959.92
583785,5935.20
584788,6009.59
585791,5886.00
586795,5886.00
587798,5935.20
588801,5788.51
589804,6009.59
590807,5861.51
591810,5886.00
592813,5861.51
593816,5837.10
594820,5837.10
595822,5886.00
596826,5910.56
