time[ms],R1[ohm]
399238,30371.76
400241,30211.68
401244,30371.76
402247,30211.68
403251,30052.86
404253,30052.86
405257,30371.76
406259,30533.14
407263,30211.67
408266,30211.68
409269,31025.13
410272,30371.76
411275,29738.98
412278,30533.13
413282,30052.85
414284,29895.30
415288,30211.67
416290,30533.14
417294,29738.98
418297,30533.13
419300,30371.76
420303,29583.88
421306,30211.67
422309,30211.68
423313,29738.98
424315,30052.86
425319,30211.68
426322,30371.76
427325,30371.76
428328,30371.76
429331,30211.68
430334,29583.88
431338,30371.76
432340,30211.68
433344,30052.86
434347,29738.98
435350,30211.67
436354,30371.76
437356,30371.76
438360,29895.29
439362,30371.76
440366,30371.76
441369,30211.68
442372,31025.13
443375,30211.68
444378,30371.76
445381,30371.76
446385,30533.14
447387,30859.80
448391,30052.86
449393,30211.67
450397,30211.67
451400,30211.68
452403,30211.68
453406,30533.14
454410,29738.98
455412,29738.98
456416,30211.67
457418,30211.67
458422,30211.67
459425,30211.68
460428,29583.88
461431,29895.30
462434,30211.67
463437,30211.67
464441,30052.86
465443,30211.68
466447,30211.67
467449,30211.68
468453,30859.80
469456,30371.76
470459,30211.68
471462,30052.86
472465,30211.67
473468,30371.76
474472,30211.67
475474,30695.81
476478,29895.30
477481,31025.12
478484,30211.67
479488,30052.85
480490,30052.85
481494,30371.76
482497,30695.80
483500,29895.30
484503,30211.67
485506,30211.67
486509,30211.67
487513,29583.88
488515,29738.98
489519,30211.67
490521,30371.76
491525,30371.76
492528,29738.98
493531,30371.76
494534,30371.76
495537,30211.68
496540,29895.29
497544,29738.98
498546,29895.30
499550,30211.68
500552,30695.80
501556,30211.67
502559,30211.67
503562,29583.88
504565,30211.67
505569,30052.85
506571,30211.68
507575,29583.88
508577,30211.67
509581,30211.67
510584,30533.13
511587,29583.88
512590,30371.76
513593,30052.85
514596,29583.88
515600,30211.67
516602,30371.76
517606,30695.81
518608,30052.86
519612,30211.68
520615,29583.88
521618,30211.67
522621,30211.67
523624,30211.67
