time[ms],R1[ohm]
447349,632.25
448352,632.25
449355,643.11
450358,643.11
451361,621.40
452364,599.78
453367,664.91
454370,632.25
455373,621.40
456376,632.25
457379,621.40
458383,621.40
459385,632.25
460389,621.40
461391,599.78
462395,632.25
463397,632.25
464401,621.40
465403,632.25
466407,599.78
467409,643.11
468413,621.40
469415,632.25
470419,610.58
471421,621.40
472425,675.85
473427,632.25
474431,643.11
475433,643.11
476437,621.40
477440,632.25
478443,632.25
479446,621.40
480449,621.40
481452,643.11
482455,621.40
483458,632.25
484461,632.25
485465,632.25
486467,654.00
487471,675.85
488473,621.40
489477,643.11
490479,654.00
491483,643.11
492485,632.25
493489,621.40
494491,621.40
495495,621.40
496497,643.11
497501,654.00
498503,632.25
499507,621.40
500509,621.40
501513,589.01
502515,632.25
503519,643.11
504521,610.58
505525,632.25
506527,632.25
507531,621.40
508533,621.40
509537,632.25
510539,621.40
511543,675.85
512546,643.11
513549,610.58
514552,632.25
515555,643.11
516558,589.01
517561,632.25
518564,643.11
519567,632.25
520570,621.40
521573,632.25
522576,654.00
523579,621.40
524582,610.58
525585,686.80
526588,664.91
527591,643.11
528594,643.11
529597,621.40
530600,632.25
531603,643.11
532606,610.58
533609,654.00
534612,610.58
535615,632.25
536619,632.25
537621,654.00
538625,599.78
539627,632.25
540631,610.58
541634,632.25
542637,632.25
543640,567.52
544643,643.11
545646,632.25
546649,632.25
547652,632.25
548655,632.25
549658,632.25
550661,632.25
551664,621.40
552667,632.25
553670,621.40
554673,632.25
555676,643.11
556679,621.40
557682,632.25
558685,632.25
559688,643.11
560691,621.40
561694,654.00
562697,621.40
563700,632.25
564703,632.25
565706,632.25
566709,643.11
567712,610.58
568715,610.58
569718,621.40
570722,632.25
571724,599.78
572728,621.40
573730,632.25
574734,664.91
575736,632.25
576740,643.11
577742,610.58
578746,686.80
579748,610.58
580752,632.25
581754,632.25
582758,643.11
583760,654.00
584764,610.58
585766,632.25
586770,643.11
587772,610.58
588776,610.58
589778,632.25
590782,632.25
591784,632.25
592788,643.11
593790,654.00
594794,621.40
595796,643.11
596800,664.91
597804,632.25
598806,632.25
599810,632.25
600812,621.40
601816,599.78
602818,578.25
603822,632.25
604824,610.58
605828,643.11
606830,632.25
607834,632.25
608836,654.00
609840,621.40
610842,632.25
611846,643.11
612848,632.25
613852,664.91
614854,643.11
615858,621.40
616860,632.25
617864,621.40
618866,632.25
619870,643.11
620872,632.25
621876,632.25
622878,632.25
623882,632.25
624885,643.11
625888,643.11
626891,599.78
627894,686.80
628897,632.25
629900,632.25
630903,654.00
631906,632.25
632909,632.25
633912,621.40
634915,632.25
635918,632.25
636921,643.11
637924,632.25
638927,654.00
639930,621.40
640933,599.78
641936,610.58
642939,643.11
643942,621.40
644945,643.11
645948,632.25
646951,632.25
647954,654.00
648957,632.25
649961,654.00
650963,621.40
651967,632.25
652969,654.00
653973,632.25
654976,621.40
655979,664.91
656982,632.25
657985,632.25
658988,654.00
659991,621.40
660994,643.11
661997,621.40
663000,621.40
664003,610.58
665006,610.58
666009,621.40
667012,632.25
668015,654.00
669018,643.11
670021,610.58
671024,632.25
672027,621.40
673030,632.25
674033,621.40
675036,643.11
676039,654.00
677043,632.25
678045,632.25
679049,643.11
680051,632.25
681055,632.25
682057,632.25
683061,654.00
684063,643.11
685067,643.11
686069,610.58
