time[ms],R1[ohm]
2,14932.46
1004,14871.67
2008,14993.56
3010,14932.46
4014,14631.46
5017,14513.10
6020,14871.67
7023,14513.10
8026,14050.90
9029,14811.17
10032,14222.15
11035,14164.80
12038,13938.08
13041,13551.49
14044,13826.33
15047,13660.66
16050,13551.49
17053,13605.94
18057,12764.02
19059,12713.41
20063,12513.20
21065,12219.47
22069,11793.10
23071,12027.91
24075,11839.65
25078,11839.65
26081,11886.41
27084,11563.28
28087,11793.10
29090,11654.62
30093,11608.85
31096,11472.71
32100,11031.16
33102,11074.49
34106,10902.25
35108,10690.90
36112,10732.82
37114,10690.90
38118,10442.90
39120,10442.90
40124,10321.14
41127,10321.14
42130,10081.96
43133,10003.49
44136,9810.00
45139,9925.64
46142,9964.49
47145,10121.43
48148,9925.64
49152,9695.71
50154,9620.25
51158,9287.80
52160,9508.15
53164,9471.08
54166,9107.97
55170,9397.34
56173,9397.34
57176,9657.91
58179,9251.56
59182,9251.56
60185,9434.14
61188,9179.49
62191,8966.52
63194,8827.18
64197,8827.18
65200,8521.09
66203,8454.44
67206,8355.35
68209,8257.34
69212,8454.44
70215,8128.29
71218,8064.45
72221,8257.34
73224,7969.54
74227,7938.13
75230,7906.83
76233,7938.13
77236,7813.58
78239,7813.58
79242,7875.63
80245,7751.96
81249,7599.77
82251,7479.91
83255,7630.00
84257,7303.18
85261,7245.08
86263,7303.19
87267,7216.17
88269,7073.09
89273,7158.65
90275,7016.53
91279,6960.35
92281,6932.40
93285,6821.52
94287,6766.63
95291,6712.11
96293,6739.32
97297,6657.93
98299,6630.98
99303,6340.23
100305,6366.23
101309,6444.76
102311,6392.32
103315,6340.23
104318,6288.46
105321,6009.59
106324,6034.54
107327,6059.57
108331,5984.72
109333,6009.59
110337,5886.00
111340,5861.51
112343,5837.10
113346,5812.77
114349,5668.34
115352,5740.22
116355,5740.22
117358,5668.34
118361,5573.52
119364,5526.55
120368,5456.63
121370,5573.52
122374,5387.34
123376,5318.67
124380,5295.93
125382,5250.63
126386,5205.60
127389,5138.57
128392,5006.28
129395,4962.71
130398,5072.13
131401,4984.46
132404,4919.38
133407,4876.32
134411,4897.82
135413,4919.38
136417,4790.93
137419,4833.50
138423,4812.18
139425,4769.74
140429,4685.58
141431,4727.54
142435,4643.87
143438,4540.63
144441,4479.39
145444,4418.67
146447,4398.54
147450,4338.51
148453,4338.51
149456,4358.46
150460,4338.51
151462,4200.38
152466,4122.65
153468,4161.40
154472,4103.35
155474,4142.00
156478,4045.78
157481,4064.92
158484,4007.66
159488,4007.66
160490,3969.75
161494,3913.28
162496,3913.28
163500,3894.56
164502,3820.18
165506,3913.28
166509,3838.70
167512,3801.71
168515,3673.81
169518,3619.73
170521,3691.93
171524,3673.81
172527,3619.73
173531,3566.09
174533,3601.80
175537,3601.80
176539,3655.74
177543,3512.86
178545,3512.86
179549,3477.62
180551,3442.56
181555,3425.10
182558,3355.71
183561,3338.48
184564,3390.32
185567,3236.03
186570,3202.23
187573,3236.03
188576,3101.88
189580,3185.39
190582,3185.39
191586,3135.15
192588,3085.30
193592,3101.88
194594,3101.88
195598,3035.83
196600,3019.42
197604,3035.83
198607,3019.42
199610,2986.74
200613,2986.74
201616,2905.75
202619,2889.67
203622,2889.67
204625,2746.80
205629,2809.90
206631,2794.07
207635,2762.52
208637,2762.52
209641,2731.12
210643,2746.80
211647,2653.32
212649,2684.33
213653,2668.81
214657,2668.81
215659,2622.47
216663,2653.33
217665,2607.11
218669,2576.49
219671,2607.11
220675,2607.11
221678,2546.01
222681,2485.52
223684,2425.62
224687,2440.54
225690,2440.54
226693,2440.54
227696,2336.84
228699,2366.29
229702,2366.29
230706,2366.29
231708,2336.84
232712,2322.17
233714,2307.54
