0,4496
1002,4478
2004,4460
3007,4442
4009,4532
5012,4532
6014,4514
7017,4496
8019,4496
9022,4496
10024,4478
11027,4460
12029,4442
13033,4478
14035,4532
15038,4532
16040,4532
17043,4514
18045,4496
19048,4496
20050,4496
21053,4496
22056,4478
23059,4478
24061,4460
25064,4442
26066,4425
27069,4442
28071,4550
29074,4550
30076,4532
31080,4514
32082,4496
33085,4496
34087,4496
35090,4478
36092,4478
37095,4478
38097,4460
39101,4460
40103,4460
41106,4532
42108,4532
43111,4532
44113,4514
45116,4496
46118,4496
47121,4478
48124,4496
49127,4478
50129,4373
51132,4496
52134,4460
53137,4442
54139,4532
55142,4532
56144,4569
57148,4496
58150,4496
59153,4496
60155,4496
61158,4478
62160,4460
63163,4460
64165,4425
65169,4514
66171,4532
67174,4532
68176,4514
69179,4496
70181,4496
71184,4478
72186,4478
73189,4407
74192,4425
75195,4532
76197,4478
77200,4514
78202,4478
79205,4478
80207,4478
81210,4460
82212,4425
83216,4496
84218,4550
85221,4532
86223,4496
87226,4496
88228,4496
89231,4478
90233,4460
91237,4442
92239,4550
93242,4532
94244,4496
95247,4496
96249,4442
97252,4460
98254,4460
99257,4550
100260,4514
101263,4496
102265,4496
103268,4478
104270,4460
105273,4442
106276,4532
107279,4532
108281,4496
109284,4496
110286,4478
111289,4460
112291,4496
113295,4532
114297,4496
115300,4496
116302,4496
117305,4478
118307,4442
119311,4550
120313,4532
121316,4496
122318,4496
123321,4478
124323,4460
125327,4442
126329,4514
127332,4532
128334,4496
129337,4496
130339,4496
131343,4460
132345,4425
133348,4550
134350,4532
135353,4496
136355,4496
137358,4478
138361,4460
139364,4460
140366,4550
141369,4514
142371,4496
143374,4478
144377,4478
145380,4442
146382,4550
147385,4532
148387,4496
149390,4442
150393,4460
151396,4478
152398,4532
153401,4496
154403,4496
155406,4478
156409,4442
157412,4550
158414,4532
159417,4496
160419,4496
161422,4478
162424,4442
163428,4532
164430,4532
165433,4478
166435,4496
167438,4478
